PackageName,Dataset,Title,Rows,Columns,Description,TimeStamp,RawData,ZippedData
SummaryJointStation_23M03,MIX_3yr_180d_500md,Data [MIX_3yr_180d_500md] of [SummaryJointStation_23M03],30000,4,This is the results of two-step band-pass filtering (2023-05),2023-5-9,data/raw/SummaryJointStation_23M03/MIX_3yr_180d_500md.csv,data/SummaryJointStation_23M03/MIX_3yr_180d_500md.gz
SummaryJointStation_23M03,GE_3yr_180d_500md,Data [GE_3yr_180d_500md] of [SummaryJointStation_23M03],30000,4,This is the results of two-step band-pass filtering (2023-05),2023-5-9,data/raw/SummaryJointStation_23M03/GE_3yr_180d_500md.csv,data/SummaryJointStation_23M03/GE_3yr_180d_500md.gz
SummaryJointStation_23M03,GM_3yr_180d_500md,Data [GM_3yr_180d_500md] of [SummaryJointStation_23M03],30000,4,This is the results of two-step band-pass filtering (2023-05),2023-5-9,data/raw/SummaryJointStation_23M03/GM_3yr_180d_500md.csv,data/SummaryJointStation_23M03/GM_3yr_180d_500md.gz
SummaryJointStation_23A19,GM_3yr_180d_500md,Data [GM_3yr_180d_500md] of [SummaryJointStation_23A19],30000,4,This is the results of one-step band-pass filtering (2023-04),2023-5-9,data/raw/SummaryJointStation_23A19/GM_3yr_180d_500md.csv,data/SummaryJointStation_23A19/GM_3yr_180d_500md.gz
SummaryJointStation_23A19,GE_3yr_180d_500md,Data [GE_3yr_180d_500md] of [SummaryJointStation_23A19],30000,4,This is the results of one-step band-pass filtering (2023-04),2023-5-9,data/raw/SummaryJointStation_23A19/GE_3yr_180d_500md.csv,data/SummaryJointStation_23A19/GE_3yr_180d_500md.gz
SummaryJointStation_23A19,MIX_3yr_180d_500md,Data [MIX_3yr_180d_500md] of [SummaryJointStation_23A19],30000,4,This is the results of one-step band-pass filtering (2023-04),2023-5-9,data/raw/SummaryJointStation_23A19/MIX_3yr_180d_500md.csv,data/SummaryJointStation_23A19/MIX_3yr_180d_500md.gz
SummaryJointStation_23A13,MIX_3yr_180d,Data [MIX_3yr_180d] of [SummaryJointStation_23A13],3000,4,This is the results of one-step band-pass filtering (2023-04) with only 50 models,2023-05-09,data/raw/SummaryJointStation_23A13/MIX_3yr_180d.csv,data/SummaryJointStation_23A13/MIX_3yr_180d.gz
SummaryJointStation_23A13,MIX_7yr_180d,Data [MIX_7yr_180d] of [SummaryJointStation_23A13],1400,4,This is the results of one-step band-pass filtering (2023-04) with only 50 models,2023-05-09,data/raw/SummaryJointStation_23A13/MIX_7yr_180d.csv,data/SummaryJointStation_23A13/MIX_7yr_180d.gz
SummaryJointStation_23A13,GE_7yr_180d,Data [GE_7yr_180d] of [SummaryJointStation_23A13],1400,4,This is the results of one-step band-pass filtering (2023-04) with only 50 models,2023-05-09,data/raw/SummaryJointStation_23A13/GE_7yr_180d.csv,data/SummaryJointStation_23A13/GE_7yr_180d.gz
SummaryJointStation_23A13,GM_7yr_180d,Data [GM_7yr_180d] of [SummaryJointStation_23A13],1400,4,This is the results of one-step band-pass filtering (2023-04) with only 50 models,2023-05-09,data/raw/SummaryJointStation_23A13/GM_7yr_180d.csv,data/SummaryJointStation_23A13/GM_7yr_180d.gz
